Category,Category (copy),City,Country,Customer ID,Customer Name,Order Date,Order ID,Postal Code,Product ID,Product Name,Region,Row ID,Segment,Segment (Blues),Ship Date,Ship Mode,State,Sub-Category,Year,Bottom Half,Discount,Number of Records,Outer Venn Position,Overlapping Customers,Overlapping Position,Profit,Profit Ratio,Quantity,Sales
Office Supplies,Office Supplies,Wilmington,United States,SP-20650,Stephanie Phelps,16-04-2015,CA-2015-155208,28403,OFF-AR-10003478,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",South,404,Corporate,Corporate,20-04-2015,Standard Class,North Carolina,Art,2015,1,0.2,1,0,1,0,9.768,25%,6,39.072
Office Supplies,Office Supplies,New York City,United States,RF-19840,Roy Französisch,24-12-2018,CA-2018-117933,10024,OFF-AP-10004249,Staple holder,East,405,Consumer,Consumer,29-12-2018,Standard Class,New York,Appliances,2018,1,0,1,1,1,0.5,9.6957,27%,3,35.91
Technology,Technology,San Francisco,United States,KH-16510,Keith Herrera,8/12/2018,CA-2018-117457,94110,TEC-AC-10000158,Sony 64GB Class 10 Micro SDHC R40 Memory Card,West,406,Consumer,Consumer,12/12/2018,Standard Class,California,Accessories,2018,1,0,1,0,0,0,37.7895,21%,5,179.95
Technology,Technology,San Francisco,United States,KH-16510,Keith Herrera,8/12/2018,CA-2018-117457,94110,TEC-CO-10004115,Sharp AL-1530CS Digital Copier,West,407,Consumer,Consumer,12/12/2018,Standard Class,California,Copiers,2018,1,0.2,1,0,0,0,434.9913,36%,3,"1,199.98"
Office Supplies,Office Supplies,San Francisco,United States,KH-16510,Keith Herrera,8/12/2018,CA-2018-117457,94110,OFF-PA-10003724,"Wirebound Message Book, 4 per Page",West,408,Consumer,Consumer,12/12/2018,Standard Class,California,Paper,2018,1,0,1,0,0,0,13.3035,49%,5,27.15
Furniture,Furniture,San Francisco,United States,KH-16510,Keith Herrera,8/12/2018,CA-2018-117457,94110,FUR-TA-10002041,"Bevis Round Conference Table Top, X-Base",West,409,Consumer,Consumer,12/12/2018,Standard Class,California,Tables,2018,1,0.2,1,0,0,0,-112.9527,-11%,7,"1,004.02"
Office Supplies,Office Supplies,San Francisco,United States,KH-16510,Keith Herrera,8/12/2018,CA-2018-117457,94110,OFF-PA-10002893,"Wirebound Service Call Books, 5 1/2"" x 4""",West,410,Consumer,Consumer,12/12/2018,Standard Class,California,Paper,2018,1,0,1,0,0,0,4.6464,48%,1,9.68
Office Supplies,Office Supplies,San Francisco,United States,KH-16510,Keith Herrera,8/12/2018,CA-2018-117457,94110,OFF-LA-10003766,Self-Adhesive Removable Labels,West,411,Consumer,Consumer,12/12/2018,Standard Class,California,Labels,2018,1,0,1,0,0,0,13.608,48%,9,28.35
Office Supplies,Office Supplies,San Francisco,United States,KH-16510,Keith Herrera,8/12/2018,CA-2018-117457,94110,OFF-PA-10001970,Xerox 1908,West,412,Consumer,Consumer,12/12/2018,Standard Class,California,Paper,2018,1,0,1,0,0,0,27.4302,49%,1,55.98
Furniture,Furniture,San Francisco,United States,KH-16510,Keith Herrera,8/12/2018,CA-2018-117457,94110,FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,West,413,Consumer,Consumer,12/12/2018,Standard Class,California,Bookcases,2018,1,0.15,1,0,0,0,31.4548,2%,13,"1,336.83"
Furniture,Furniture,San Francisco,United States,KH-16510,Keith Herrera,8/12/2018,CA-2018-117457,94110,FUR-CH-10003956,Novimex High-Tech Fabric Mesh Task Chair,West,414,Consumer,Consumer,12/12/2018,Standard Class,California,Chairs,2018,1,0.2,1,0,0,0,-18.4548,-16%,2,113.568
Office Supplies,Office Supplies,Seattle,United States,KC-16675,Kimberly Carter,3/11/2018,CA-2018-142636,98105,OFF-PA-10000157,Xerox 191,West,415,Corporate,Corporate,7/11/2018,Standard Class,Washington,Paper,2018,1,0,1,0,0,0,65.7342,47%,7,139.86
Furniture,Furniture,Seattle,United States,KC-16675,Kimberly Carter,3/11/2018,CA-2018-142636,98105,FUR-CH-10001891,Global Deluxe Office Fabric Chairs,West,416,Corporate,Corporate,7/11/2018,Standard Class,Washington,Chairs,2018,1,0.2,1,0,0,0,26.8744,9%,4,307.136
Office Supplies,Office Supplies,Huntington Beach,United States,CJ-12010,Caroline Jumper,24-06-2018,CA-2018-122105,92646,OFF-AR-10004344,Bulldog Vacuum Base Pencil Sharpener,West,417,Consumer,Consumer,28-06-2018,Standard Class,California,Art,2018,1,0,1,0,1,0,25.8984,27%,8,95.92
Furniture,Furniture,Los Angeles,United States,PB-19150,Philip Brown,14-04-2017,CA-2017-148796,90004,FUR-CH-10004886,Bevis Steel Folding Chairs,West,418,Consumer,Consumer,18-04-2017,Standard Class,California,Chairs,2017,1,0.2,1,0,1,0,38.38,10%,5,383.8
Office Supplies,Office Supplies,Richmond,United States,VB-21745,Victoria Brennan,6/11/2018,CA-2018-154816,40475,OFF-PA-10003845,Xerox 1987,South,419,Corporate,Corporate,10/11/2018,Standard Class,Kentucky,Paper,2018,1,0,1,0,0,0,2.8322,49%,1,5.78
Office Supplies,Office Supplies,Los Angeles,United States,SP-20860,Sung Pak,4/3/2018,CA-2018-110478,90045,OFF-AR-10001573,American Pencil,West,420,Corporate,Corporate,9/3/2018,Standard Class,California,Art,2018,1,0,1,0,1,0,2.7028,29%,4,9.32
Office Supplies,Office Supplies,Los Angeles,United States,SP-20860,Sung Pak,4/3/2018,CA-2018-110478,90045,OFF-EN-10000483,"White Envelopes, White Envelopes with Clear Poly Window",West,421,Corporate,Corporate,9/3/2018,Standard Class,California,Envelopes,2018,1,0,1,0,1,0,7.015,46%,1,15.25
Technology,Technology,Louisville,United States,JE-15745,Joel Eaton,22-06-2015,CA-2015-142048,80027,TEC-AC-10004114,KeyTronic 6101 Series - Keyboard - Black,West,422,Consumer,Consumer,25-06-2015,First Class,Colorado,Accessories,2015,1,0.2,1,0,1,0,56.5662,29%,6,196.752
Furniture,Furniture,Lawrence,United States,MP-17965,Michael Paige,19-10-2018,CA-2018-125388,1841,FUR-FU-10004712,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",East,423,Corporate,Corporate,23-10-2018,Standard Class,Massachusetts,Furnishings,2018,1,0,1,1,0,0.5,14.7056,26%,4,56.56
Office Supplies,Office Supplies,Lawrence,United States,MP-17965,Michael Paige,19-10-2018,CA-2018-125388,1841,OFF-ST-10000918,Crate-A-Files,East,424,Corporate,Corporate,23-10-2018,Standard Class,Massachusetts,Storage,2018,1,0,1,1,0,0.5,8.502,26%,3,32.7
Furniture,Furniture,Jackson,United States,NF-18385,Natalie Fritzler,21-08-2018,CA-2018-155705,39212,FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,South,425,Consumer,Consumer,23-08-2018,Second Class,Mississippi,Chairs,2018,1,0,1,0,0,0,225.264,26%,4,866.4
Furniture,Furniture,Canton,United States,JM-15265,Janet Molinari,23-11-2018,CA-2018-149160,48187,FUR-FU-10003347,Coloredge Poster Frame,Central,426,Corporate,Corporate,26-11-2018,Second Class,Michigan,Furnishings,2018,1,0,1,0,1,0,11.076,39%,2,28.4
Office Supplies,Office Supplies,Canton,United States,JM-15265,Janet Molinari,23-11-2018,CA-2018-149160,48187,OFF-BI-10001543,GBC VeloBinder Manual Binding System,Central,427,Corporate,Corporate,26-11-2018,Second Class,Michigan,Binders,2018,1,0,1,0,1,0,138.2016,48%,8,287.92
Technology,Technology,New Rochelle,United States,SD-20485,Shirley Daniels,12/9/2015,CA-2015-101476,10801,TEC-MA-10000029,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",East,428,Home Office,Home Office,13-09-2015,First Class,New York,Machines,2015,1,0,1,1,1,0.5,30.0957,43%,1,69.99
Office Supplies,Office Supplies,San Antonio,United States,KH-16630,Ken Heidel,1/10/2018,CA-2018-152275,78207,OFF-AR-10000369,Design Ebony Sketching Pencil,Central,429,Corporate,Corporate,8/10/2018,Standard Class,Texas,Art,2018,1,0.2,1,0,1,0,0.5004,8%,6,6.672
Office Supplies,Office Supplies,Gastonia,United States,RB-19795,Ross Baird,15-04-2017,US-2017-123750,28052,OFF-BI-10004584,GBC ProClick 150 Presentation Binding System,South,430,Home Office,Home Office,21-04-2017,Standard Class,North Carolina,Binders,2017,1,0.7,1,0,1,0,-145.3508,-77%,2,189.588
Technology,Technology,Gastonia,United States,RB-19795,Ross Baird,15-04-2017,US-2017-123750,28052,TEC-AC-10004659,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,South,431,Home Office,Home Office,21-04-2017,Standard Class,North Carolina,Accessories,2017,1,0.2,1,0,1,0,76.6395,19%,7,408.744
Technology,Technology,Gastonia,United States,RB-19795,Ross Baird,15-04-2017,US-2017-123750,28052,TEC-AC-10004659,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,South,432,Home Office,Home Office,21-04-2017,Standard Class,North Carolina,Accessories,2017,1,0.2,1,0,1,0,54.7425,19%,5,291.96
Office Supplies,Office Supplies,Gastonia,United States,RB-19795,Ross Baird,15-04-2017,US-2017-123750,28052,OFF-ST-10000617,Woodgrain Magazine Files by Perma,South,433,Home Office,Home Office,21-04-2017,Standard Class,North Carolina,Storage,2017,1,0.2,1,0,1,0,-0.7748,-16%,2,4.768
Office Supplies,Office Supplies,Lowell,United States,DB-13060,Dave Brooks,6/6/2017,CA-2017-127369,1852,OFF-ST-10003306,Letter Size Cart,East,434,Consumer,Consumer,7/6/2017,First Class,Massachusetts,Storage,2017,1,0,1,1,1,0.5,207.147,29%,5,714.3
Office Supplies,Office Supplies,Jacksonville,United States,MK-18160,Mike Kennedy,19-12-2015,US-2015-150574,32216,OFF-BI-10000773,Insertable Tab Post Binder Dividers,South,435,Consumer,Consumer,25-12-2015,Standard Class,Florida,Binders,2015,1,0.7,1,0,0,0,-3.6892,-77%,2,4.812
Technology,Technology,Jacksonville,United States,MK-18160,Mike Kennedy,19-12-2015,US-2015-150574,32216,TEC-AC-10002600,Belkin QODE FastFit Bluetooth Keyboard,South,436,Consumer,Consumer,25-12-2015,Standard Class,Florida,Accessories,2015,1,0.2,1,0,0,0,-18.585,-8%,5,247.8
Technology,Technology,Chicago,United States,PO-19180,Philisse Overcash,12/6/2017,CA-2017-147375,60623,TEC-MA-10002937,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",Central,437,Home Office,Home Office,14-06-2017,Second Class,Illinois,Machines,2017,1,0.3,1,0,1,0,43.1991,4%,3,"1,007.98"
Office Supplies,Office Supplies,Chicago,United States,PO-19180,Philisse Overcash,12/6/2017,CA-2017-147375,60623,OFF-PA-10001970,Xerox 1908,Central,438,Home Office,Home Office,14-06-2017,Second Class,Illinois,Paper,2017,1,0.2,1,0,1,0,113.6394,36%,7,313.488
Office Supplies,Office Supplies,Houston,United States,BB-11545,Brenda Bowman,15-09-2018,CA-2018-130043,77070,OFF-PA-10002230,Xerox 1897,Central,439,Corporate,Corporate,19-09-2018,Standard Class,Texas,Paper,2018,1,0.2,1,0,1,0,11.5536,36%,8,31.872
Furniture,Furniture,New York City,United States,CV-12805,Cynthia Voltz,20-01-2018,CA-2018-157252,10024,FUR-CH-10003396,Global Deluxe Steno Chair,East,440,Corporate,Corporate,23-01-2018,Second Class,New York,Chairs,2018,1,0.1,1,1,1,0.5,2.3094,1%,3,207.846
Furniture,Furniture,Detroit,United States,PK-19075,Pete Kriz,5/9/2017,CA-2017-115756,48227,FUR-FU-10000246,Aluminum Document Frame,Central,441,Consumer,Consumer,7/9/2017,Second Class,Michigan,Furnishings,2017,1,0,1,0,1,0,3.666,30%,1,12.22
Office Supplies,Office Supplies,Detroit,United States,PK-19075,Pete Kriz,5/9/2017,CA-2017-115756,48227,OFF-ST-10000060,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,Central,442,Consumer,Consumer,7/9/2017,Second Class,Michigan,Storage,2017,1,0,1,0,1,0,23.3928,12%,3,194.94
Office Supplies,Office Supplies,Detroit,United States,PK-19075,Pete Kriz,5/9/2017,CA-2017-115756,48227,OFF-ST-10003058,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,Central,443,Consumer,Consumer,7/9/2017,Second Class,Michigan,Storage,2017,1,0,1,0,1,0,20.5755,29%,3,70.95
Office Supplies,Office Supplies,Detroit,United States,PK-19075,Pete Kriz,5/9/2017,CA-2017-115756,48227,OFF-PA-10002222,"Xerox Color Copier Paper, 11"" x 17"", Ream",Central,444,Consumer,Consumer,7/9/2017,Second Class,Michigan,Paper,2017,1,0,1,0,1,0,42.0256,46%,4,91.36
Furniture,Furniture,Detroit,United States,PK-19075,Pete Kriz,5/9/2017,CA-2017-115756,48227,FUR-CH-10002372,Office Star - Ergonomically Designed Knee Chair,Central,445,Consumer,Consumer,7/9/2017,Second Class,Michigan,Chairs,2017,1,0,1,0,1,0,29.1528,12%,3,242.94
Office Supplies,Office Supplies,Detroit,United States,PK-19075,Pete Kriz,5/9/2017,CA-2017-115756,48227,OFF-LA-10001317,Avery 520,Central,446,Consumer,Consumer,7/9/2017,Second Class,Michigan,Labels,2017,1,0,1,0,1,0,10.584,48%,7,22.05
Furniture,Furniture,Columbus,United States,TB-21595,Troy Blackwell,20-03-2018,CA-2018-154214,47201,FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Central,447,Consumer,Consumer,25-03-2018,Second Class,Indiana,Furnishings,2018,1,0,1,0,1,0,1.3677,47%,1,2.91
Office Supplies,Office Supplies,Auburn,United States,RB-19360,Raymond Buch,1/4/2017,CA-2017-166674,13021,OFF-AR-10000588,Newell 345,East,448,Consumer,Consumer,3/4/2017,Second Class,New York,Art,2017,1,0,1,1,1,0.5,15.4752,26%,3,59.52
Office Supplies,Office Supplies,Auburn,United States,RB-19360,Raymond Buch,1/4/2017,CA-2017-166674,13021,OFF-ST-10001469,Fellowes Bankers Box Recycled Super Stor/Drawer,East,449,Consumer,Consumer,3/4/2017,Second Class,New York,Storage,2017,1,0,1,1,1,0.5,9.7164,6%,3,161.94
Office Supplies,Office Supplies,Auburn,United States,RB-19360,Raymond Buch,1/4/2017,CA-2017-166674,13021,OFF-AR-10001953,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,East,450,Consumer,Consumer,3/4/2017,Second Class,New York,Art,2017,1,0,1,1,1,0.5,71.2476,27%,6,263.88
Office Supplies,Office Supplies,Auburn,United States,RB-19360,Raymond Buch,1/4/2017,CA-2017-166674,13021,OFF-AR-10003156,50 Colored Long Pencils,East,451,Consumer,Consumer,3/4/2017,Second Class,New York,Art,2017,1,0,1,1,1,0.5,7.9248,26%,3,30.48
Office Supplies,Office Supplies,Auburn,United States,RB-19360,Raymond Buch,1/4/2017,CA-2017-166674,13021,OFF-AR-10004974,Newell 342,East,452,Consumer,Consumer,3/4/2017,Second Class,New York,Art,2017,1,0,1,1,1,0.5,2.8536,29%,3,9.84
Technology,Technology,Auburn,United States,RB-19360,Raymond Buch,1/4/2017,CA-2017-166674,13021,TEC-PH-10002365,Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,East,453,Consumer,Consumer,3/4/2017,Second Class,New York,Phones,2017,1,0,1,1,1,0.5,9.1312,26%,4,35.12
Furniture,Furniture,Akron,United States,EB-13705,Ed Braxton,20-10-2018,CA-2018-147277,44312,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,East,454,Corporate,Corporate,24-10-2018,Standard Class,Ohio,Tables,2018,1,0.4,1,1,1,0.5,-75.8304,-27%,2,284.364
Office Supplies,Office Supplies,Akron,United States,EB-13705,Ed Braxton,20-10-2018,CA-2018-147277,44312,OFF-ST-10000142,Deluxe Rollaway Locking File with Drawer,East,455,Corporate,Corporate,24-10-2018,Standard Class,Ohio,Storage,2018,1,0.2,1,1,1,0.5,66.5408,10%,2,665.408
Technology,Technology,Norman,United States,KH-16630,Ken Heidel,13-12-2017,CA-2017-100153,73071,TEC-AC-10001772,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,Central,456,Corporate,Corporate,17-12-2017,Standard Class,Oklahoma,Accessories,2017,1,0,1,0,1,0,24.9132,39%,4,63.88
Furniture,Furniture,Concord,United States,SC-20095,Sanjit Chand,12/2/2015,US-2015-110674,94521,FUR-CH-10000225,"Global Geo Office Task Chair, Gray",West,457,Consumer,Consumer,18-02-2015,Standard Class,California,Chairs,2015,1,0.2,1,0,1,0,-24.294,-19%,2,129.568
Furniture,Furniture,Decatur,United States,NF-18385,Natalie Fritzler,26-09-2017,US-2017-157945,62521,FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Central,458,Consumer,Consumer,1/10/2017,Standard Class,Illinois,Chairs,2017,1,0.3,1,0,0,0,-96.1146,-13%,3,747.558
Office Supplies,Office Supplies,Decatur,United States,NF-18385,Natalie Fritzler,26-09-2017,US-2017-157945,62521,OFF-EN-10001415,Staple envelope,Central,459,Consumer,Consumer,1/10/2017,Standard Class,Illinois,Envelopes,2017,1,0.2,1,0,0,0,3.348,38%,2,8.928
Office Supplies,Office Supplies,Seattle,United States,JH-15985,Joseph Holt,15-12-2016,CA-2016-109638,98115,OFF-AP-10002472,3M Office Air Cleaner,West,460,Consumer,Consumer,22-12-2016,Standard Class,Washington,Appliances,2016,1,0,1,0,0,0,36.372,35%,4,103.92
Technology,Technology,Seattle,United States,JH-15985,Joseph Holt,15-12-2016,CA-2016-109638,98115,TEC-AC-10004571,Logitech G700s Rechargeable Gaming Mouse,West,461,Consumer,Consumer,22-12-2016,Standard Class,Washington,Accessories,2016,1,0,1,0,0,0,377.9622,42%,9,899.91
Office Supplies,Office Supplies,Seattle,United States,JH-15985,Joseph Holt,15-12-2016,CA-2016-109638,98115,OFF-BI-10001098,Acco D-Ring Binder w/DublLock,West,462,Consumer,Consumer,22-12-2016,Standard Class,Washington,Binders,2016,1,0.2,1,0,0,0,18.6006,36%,3,51.312
Furniture,Furniture,Phoenix,United States,TN-21040,Tanja Norvell,22-04-2017,CA-2017-109869,85023,FUR-FU-10000023,Eldon Wave Desk Accessories,West,463,Home Office,Home Office,29-04-2017,Standard Class,Arizona,Furnishings,2017,1,0.2,1,0,1,0,7.068,30%,5,23.56
Furniture,Furniture,Phoenix,United States,TN-21040,Tanja Norvell,22-04-2017,CA-2017-109869,85023,FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,West,464,Home Office,Home Office,29-04-2017,Standard Class,Arizona,Tables,2017,1,0.5,1,0,1,0,-814.4832,-64%,6,"1,272.63"
Office Supplies,Office Supplies,Phoenix,United States,TN-21040,Tanja Norvell,22-04-2017,CA-2017-109869,85023,OFF-BI-10000315,Poly Designer Cover & Back,West,465,Home Office,Home Office,29-04-2017,Standard Class,Arizona,Binders,2017,1,0.7,1,0,1,0,-20.889,-73%,5,28.485
Office Supplies,Office Supplies,Phoenix,United States,TN-21040,Tanja Norvell,22-04-2017,CA-2017-109869,85023,OFF-SU-10003505,Premier Electric Letter Opener,West,466,Home Office,Home Office,29-04-2017,Standard Class,Arizona,Supplies,2017,1,0.2,1,0,1,0,-34.758,-19%,2,185.376
Office Supplies,Office Supplies,Phoenix,United States,TN-21040,Tanja Norvell,22-04-2017,CA-2017-109869,85023,OFF-AP-10002578,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",West,467,Home Office,Home Office,29-04-2017,Standard Class,Arizona,Appliances,2017,1,0.2,1,0,1,0,5.8704,8%,2,78.272
Furniture,Furniture,Park Ridge,United States,JS-15940,Joni Sundaresam,17-01-2016,US-2016-101399,60068,FUR-FU-10002918,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Central,468,Home Office,Home Office,24-01-2016,Standard Class,Illinois,Furnishings,2016,1,0.6,1,0,0,0,-312.0614,-123%,7,254.744
Furniture,Furniture,Amarillo,United States,DS-13180,David Smith,31-03-2018,CA-2018-154907,79109,FUR-BO-10002824,Bush Mission Pointe Library,Central,469,Corporate,Corporate,4/4/2018,Standard Class,Texas,Bookcases,2018,1,0.32,1,0,1,0,-36.2352,-18%,2,205.3328
Office Supplies,Office Supplies,Chicago,United States,CC-12670,Craig Carreira,16-12-2017,US-2017-100419,60610,OFF-BI-10002194,Cardinal Hold-It CD Pocket,Central,470,Consumer,Consumer,20-12-2017,Second Class,Illinois,Binders,2017,1,0.8,1,0,1,0,-7.9002,-165%,3,4.788
Office Supplies,Office Supplies,Lindenhurst,United States,MH-17785,Maya Herman,20-12-2016,CA-2016-154144,11757,OFF-PA-10004071,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",East,471,Corporate,Corporate,24-12-2016,Standard Class,New York,Paper,2016,1,0,1,1,1,0.5,26.6304,48%,1,55.48
Office Supplies,Office Supplies,San Francisco,United States,JP-15520,Jeremy Pistek,9/11/2015,CA-2015-144666,94110,OFF-ST-10002743,SAFCO Boltless Steel Shelving,West,472,Consumer,Consumer,11/11/2015,Second Class,California,Storage,2015,1,0,1,0,0,0,3.4092,1%,3,340.92
Furniture,Furniture,San Francisco,United States,JP-15520,Jeremy Pistek,9/11/2015,CA-2015-144666,94110,FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",West,473,Consumer,Consumer,11/11/2015,Second Class,California,Bookcases,2015,1,0.15,1,0,0,0,10.4784,5%,2,222.666
Technology,Technology,San Francisco,United States,JP-15520,Jeremy Pistek,9/11/2015,CA-2015-144666,94110,TEC-PH-10002680,Samsung Galaxy Note 3,West,474,Consumer,Consumer,11/11/2015,Second Class,California,Phones,2015,1,0.2,1,0,0,0,87.996,13%,4,703.968
Office Supplies,Office Supplies,San Francisco,United States,JP-15520,Jeremy Pistek,9/11/2015,CA-2015-144666,94110,OFF-ST-10001321,"Decoflex Hanging Personal Folder File, Blue",West,475,Consumer,Consumer,11/11/2015,Second Class,California,Storage,2015,1,0,1,0,0,0,24.9804,27%,6,92.52
Office Supplies,Office Supplies,San Francisco,United States,JP-15520,Jeremy Pistek,9/11/2015,CA-2015-144666,94110,OFF-PA-10001509,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",West,476,Consumer,Consumer,11/11/2015,Second Class,California,Paper,2015,1,0,1,0,0,0,28.819,46%,7,62.65
Office Supplies,Office Supplies,San Francisco,United States,JP-15520,Jeremy Pistek,9/11/2015,CA-2015-144666,94110,OFF-PA-10003465,Xerox 1912,West,477,Consumer,Consumer,11/11/2015,Second Class,California,Paper,2015,1,0,1,0,0,0,45.528,48%,5,94.85
Technology,Technology,Los Angeles,United States,KH-16690,Kristen Hastings,12/7/2017,CA-2017-103891,90008,TEC-PH-10000149,Cisco SPA525G2 IP Phone - Wireless,West,478,Corporate,Corporate,19-07-2017,Standard Class,California,Phones,2017,1,0.2,1,0,1,0,7.182,7%,6,95.76
Furniture,Furniture,Troy,United States,JE-15475,Jeremy Ellison,27-10-2017,CA-2017-152632,12180,FUR-FU-10002671,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,East,479,Consumer,Consumer,2/11/2017,Standard Class,New York,Furnishings,2017,1,0,1,1,1,0.5,19.296,48%,3,40.2
Office Supplies,Office Supplies,New York City,United States,JG-15805,John Grady,26-06-2017,CA-2017-100790,10024,OFF-AR-10003045,Prang Colored Pencils,East,480,Corporate,Corporate,2/7/2017,Standard Class,New York,Art,2017,1,0,1,1,1,0.5,6.615,45%,5,14.7
Office Supplies,Office Supplies,New York City,United States,JG-15805,John Grady,26-06-2017,CA-2017-100790,10024,OFF-ST-10000689,"Fellowes Strictly Business Drawer File, Letter/Legal Size",East,481,Corporate,Corporate,2/7/2017,Standard Class,New York,Storage,2017,1,0,1,1,1,0.5,84.51,12%,5,704.25
Technology,Technology,San Diego,United States,XP-21865,Xylona Preis,6/10/2015,CA-2015-134677,92024,TEC-AC-10001445,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,West,482,Consumer,Consumer,10/10/2015,Standard Class,California,Accessories,2015,1,0,1,0,1,0,1.9089,21%,3,9.09
Office Supplies,Office Supplies,New York City,United States,EM-14065,Erin Mull,22-07-2015,CA-2015-127691,10024,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",East,483,Consumer,Consumer,27-07-2015,Standard Class,New York,Art,2015,1,0,1,1,0,0.5,1.6688,28%,2,5.96
Technology,Technology,New York City,United States,EM-14065,Erin Mull,22-07-2015,CA-2015-127691,10024,TEC-AC-10002567,Logitech G602 Wireless Gaming Mouse,East,484,Consumer,Consumer,27-07-2015,Standard Class,New York,Accessories,2015,1,0,1,1,0,0.5,57.5928,36%,2,159.98
Office Supplies,Office Supplies,Los Angeles,United States,MT-18070,Michelle Tran,10/6/2018,CA-2018-140963,90045,OFF-LA-10003923,Alphabetical Labels for Top Tab Filing,West,485,Home Office,Home Office,13-06-2018,First Class,California,Labels,2018,1,0,1,0,0,0,14.8,50%,2,29.6
Furniture,Furniture,Los Angeles,United States,MT-18070,Michelle Tran,10/6/2018,CA-2018-140963,90045,FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,West,486,Home Office,Home Office,13-06-2018,First Class,California,Bookcases,2018,1,0.15,1,0,0,0,-30.245,-6%,5,514.165
Technology,Technology,Los Angeles,United States,MT-18070,Michelle Tran,10/6/2018,CA-2018-140963,90045,TEC-PH-10001924,iHome FM Clock Radio with Lightning Dock,West,487,Home Office,Home Office,13-06-2018,First Class,California,Phones,2018,1,0.2,1,0,0,0,17.4975,6%,5,279.96
Technology,Technology,Chicago,United States,SA-20830,Sue Ann Reed,29-10-2015,CA-2015-154627,60610,TEC-PH-10001363,Apple iPhone 5S,Central,488,Consumer,Consumer,31-10-2015,First Class,Illinois,Phones,2015,1,0.2,1,0,1,0,341.994,13%,6,"2,735.95"
Technology,Technology,Huntsville,United States,CW-11905,Carl Weiss,9/6/2015,CA-2015-133753,77340,TEC-PH-10000376,Square Credit Card Reader,Central,489,Home Office,Home Office,13-06-2015,Second Class,Texas,Phones,2015,1,0.2,1,0,1,0,0.5994,8%,1,7.992
Technology,Technology,Huntsville,United States,CW-11905,Carl Weiss,9/6/2015,CA-2015-133753,77340,TEC-AC-10000303,Logitech M510 Wireless Mouse,Central,490,Home Office,Home Office,13-06-2015,Second Class,Texas,Accessories,2015,1,0.2,1,0,1,0,10.3974,16%,2,63.984
Office Supplies,Office Supplies,Huntsville,United States,CW-11905,Carl Weiss,9/6/2015,CA-2015-133753,77340,OFF-AR-10001953,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Central,491,Home Office,Home Office,13-06-2015,Second Class,Texas,Art,2015,1,0.2,1,0,1,0,6.1572,9%,2,70.368
Office Supplies,Office Supplies,Rochester,United States,AJ-10960,Astrea Jones,14-09-2015,CA-2015-113362,14609,OFF-ST-10001809,Fellowes Officeware Wire Shelving,East,492,Consumer,Consumer,19-09-2015,Standard Class,New York,Storage,2015,1,0,1,1,1,0.5,8.983,2%,5,449.15
Office Supplies,Office Supplies,Rochester,United States,AJ-10960,Astrea Jones,14-09-2015,CA-2015-113362,14609,OFF-EN-10003845,Colored Envelopes,East,493,Consumer,Consumer,19-09-2015,Standard Class,New York,Envelopes,2015,1,0,1,1,1,0.5,5.0922,46%,3,11.07
Technology,Technology,Seattle,United States,SS-20590,Sonia Sunley,9/5/2017,CA-2017-169166,98115,TEC-AC-10000991,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,West,494,Consumer,Consumer,14-05-2017,Standard Class,Washington,Accessories,2017,1,0,1,0,0,0,13.1572,14%,2,93.98
